company,statement_type,account,account_kr,unit,2023,2024,2025
HYBE,consolidated,Revenue,매출액,KRW_million,2178145.0,2255639.0,2649890.0
HYBE,consolidated,Operating_Profit,영업이익,KRW_million,295636.0,184000.0,49300.0
HYBE,consolidated,Net_Income,당기순이익,KRW_million,183424.0,-3400.0,-254400.0
HYBE,consolidated,Goodwill,영업권,KRW_million,1717432.0,1809809.0,1679490.0
HYBE,consolidated,Operating_Cash_Flow,영업활동현금흐름,KRW_million,310627.0,151599.0,177260.0
HYBE,consolidated,Total_Assets,자산총계,KRW_million,5345680.0,5479190.0,5485470.0
